TIME,CH2
-3.713,0.01
-3.712,0.01
-3.711,0.01
-3.710,0.01
-3.709,0.01
-3.708,-0.01
-3.707,0.01
-3.706,0.01
-3.705,-0.01
-3.704,0.01
-3.703,0.01
-3.702,0.03
-3.701,-0.01
-3.700,0.01
-3.699,0.01
-3.698,0.03
-3.697,0.01
-3.696,0.01
-3.695,0.01
-3.694,0.01
-3.693,0.01
-3.692,0.01
-3.691,0.03
-3.690,0.01
-3.689,0.01
-3.688,0.01
-3.687,0.05
-3.686,0.01
-3.685,0.01
-3.684,0.01
-3.683,0.01
-3.682,0.03
-3.681,0.01
-3.680,0.01
-3.679,0.01
-3.678,0.01
-3.677,0.01
-3.676,0.01
-3.675,0.01
-3.674,0.01
-3.673,-0.01
-3.672,0.01
-3.671,0.01
-3.670,-0.01
-3.669,0.01
-3.668,0.01
-3.667,0.03
-3.666,0.03
-3.665,0.01
-3.664,0.01
-3.663,0.01
-3.662,0.01
-3.661,0.01
-3.660,0.01
-3.659,0.01
-3.658,-0.01
-3.657,-0.01
-3.656,-0.01
-3.655,0.01
-3.654,0.01
-3.653,0.01
-3.652,0.03
-3.651,0.05
-3.650,0.01
-3.649,0.01
-3.648,0.01
-3.647,0.01
-3.646,0.01
-3.645,0.01
-3.644,-0.01
-3.643,-0.01
-3.642,0.01
-3.641,0.01
-3.640,0.01
-3.639,0.01
-3.638,0.01
-3.637,0.01
-3.636,0.01
-3.635,0.01
-3.634,0.01
-3.633,0.01
-3.632,0.01
-3.631,0.01
-3.630,0.05
-3.629,0.01
-3.628,0.01
-3.627,0.01
-3.626,0.03
-3.625,0.03
-3.624,0.01
-3.623,-0.01
-3.622,0.01
-3.621,0.01
-3.620,0.03
-3.619,0.03
-3.618,0.03
-3.617,0.01
-3.616,-0.01
-3.615,0.01
-3.614,0.01
-3.613,0.01
-3.612,0.03
-3.611,0.01
-3.610,0.03
-3.609,-0.01
-3.608,0.01
-3.607,0.01
-3.606,0.01
-3.605,0.01
-3.604,-0.01
-3.603,-0.01
-3.602,0.01
-3.601,0.01
-3.600,0.01
-3.599,0.01
-3.598,0.03
-3.597,0.03
-3.596,0.01
-3.595,-0.01
-3.594,0.01
-3.593,0.01
-3.592,0.01
-3.591,0.01
-3.590,0.01
-3.589,0.01
-3.588,0.01
