TIME,CH2
-3.75,0
-3.75,-0.02
-3.75,0
-3.75,0.02
-3.75,0
-3.75,0
-3.75,0
-3.75,0
-3.74,0.06
-3.74,0
-3.74,0.02
-3.74,0.02
-3.74,0
-3.74,0
-3.74,0
-3.74,0
-3.74,0
-3.74,0
-3.73,0
-3.73,0
-3.73,0
-3.73,0
-3.73,0
-3.73,0
-3.73,0
-3.73,0
-3.73,0
-3.73,0.02
-3.72,0.02
-3.72,0.04
-3.72,0
-3.72,0
-3.72,0
-3.72,0
-3.72,-0.02
-3.72,0
-3.72,0
-3.72,0
-3.71,0
-3.71,-0.02
-3.71,0
-3.71,0
-3.71,0
-3.71,0
-3.71,0
-3.71,0
-3.71,0
-3.71,0
-3.7,0.02
-3.7,0
-3.7,0
-3.7,0
-3.7,0
-3.7,0.02
-3.7,0
-3.7,0
-3.7,0
-3.7,0.02
-3.69,0.04
-3.69,0
-3.69,0
-3.69,0.04
-3.69,0.02
-3.69,0.02
-3.69,0
-3.69,0
-3.69,0
-3.69,-0.02
-3.68,-0.02
-3.68,0
-3.68,0.02
-3.68,0
-3.68,0
-3.68,0
-3.68,0.02
-3.68,0
-3.68,0
-3.68,0
-3.67,0
-3.67,0.02
-3.67,0.02
-3.67,0
-3.67,0
-3.67,0.02
-3.67,0
-3.67,0
-3.67,0
-3.67,0
-3.66,0
-3.66,0
-3.66,0
-3.66,0
-3.66,0
-3.66,0
-3.66,-0.02
-3.66,0
-3.66,0.02
-3.66,0
-3.65,0.02
-3.65,0
-3.65,0
-3.65,0.02
-3.65,0
-3.65,0
-3.65,0
-3.65,0
-3.65,0
-3.65,0
-3.64,0
-3.64,0
-3.64,0
-3.64,0
-3.64,0
-3.64,0
-3.64,0
-3.64,0.02
-3.64,0.02
-3.64,0
-3.63,0.04
-3.63,0
-3.63,0
-3.63,-0.02
-3.63,0
-3.63,-0.02
-3.63,0
-3.63,0.04
-3.63,0
-3.63,0
-3.62,0
-3.62,0
-3.62,-0.02
-3.62,0
-3.62,0
-3.62,0
-3.62,0
-3.62,0.02
-3.62,0
-3.62,0
-3.61,0
-3.61,0
-3.61,0
-3.61,0.02
-3.61,0
-3.61,0.02
-3.61,0.04
